Species,N0SL 1 8.06,N0SH 1 8.06,NLS0 1 8.06,NLSL 1 8.06,NLSH 1 8.06,NHS0 1 8.06,NHSL 1 8.06,NHSH 1 8.06,PC 1 8.06,UC 1 8.06,N0SL 2 8.05,N0SH 2 8.05,NLS0 2 8.05,NLSL 2 8.05,NLSH 2 8.05,NHS0 2 8.05,NHSL 2 8.05,NHSH 2 8.05,PC 2 8.05,UC 2 8.05,N0SL 3 8.04,N0SH 3 8.04,NLS0 3 8.04,NLSL 3 8.04,NLSH 3 8.04,NHS0 3 8.04,NHSL 3 8.04,NHSH 3 8.04,PC 3 8.04,UC 3 8.04,N0SL 4 8.04,N0SH 4 8.04,NLS0 4 8.04,NLSL 4 8.04,NLSH 4 8.04,NHS0 4 8.04,NHSL 4 8.04,NHSH 4 8.04,PC 4 8.04,UC 4 8.04,N0SL 5 8.05,N0SH 5 8.05,NLS0 5 8.05,NLSL 5 8.05,NLSH 5 8.05,NHS0 5 8.05,NHSL 5 8.05,NHSH 5 8.05,PC 5 8.05,UC 5 8.05,N0SL 6 8.05,N0SH 6 8.05,NLS0 6 8.05,NLSL 6 8.05,NLSH 6 8.05,NHS0 6 8.05,NHSL 6 8.05,NHSH 6 8.05,PC 6 8.05,UC 6 8.05,N0SL 7 8.06,N0SH 7 8.06,NLS0 7 8.06,NLSL 7 8.06,NLSH 7 8.06,NHS0 7 8.06,NHSL 7 8.06,NHSH 7 8.06,PC 7 8.06,UC 7 8.06,N0SL 8 8.04,N0SH 8 8.04,NLS0 8 8.04,NLSL 8 8.04,NLSH 8 8.04,NHS0 8 8.04,NHSL 8 8.04,NHSH 8 8.04,PC 8 8.04,UC 8 8.04,N0SL 1 9.05,N0SH 1 9.05,NLS0 1 9.05,NLSL 1 9.05,NLSH 1 9.05,NHS0 1 9.05,NHSL 1 9.05,NHSH 1 9.05,PC 1 9.05,UC 1 9.05,N0SL 2 9.07,N0SH 2 9.07,NLS0 2 9.07,NLSL 2 9.07,NLSH 2 9.07,NHS0 2 9.07,NHSL 2 9.07,NHSH 2 9.07,PC 2 9.07,UC 2 9.07,N0SL 3 9.07,N0SH 3 9.07,NLS0 3 9.07,NLSL 3 9.07,NLSH 3 9.07,NHS0 3 9.07,NHSL 3 9.07,NHSH 3 9.07,PC 3 9.07,UC 3 9.07,N0SL 4 9.06,N0SH 4 9.06,NLS0 4 9.06,NLSL 4 9.06,NLSH 4 9.06,NHS0 4 9.06,NHSL 4 9.06,NHSH 4 9.06,PC 4 9.06,UC 4 9.06,N0SL 5 9.06,N0SH 5 9.06,NLS0 5 9.06,NLSL 5 9.06,NLSH 5 9.06,NHS0 5 9.06,NHSL 5 9.06,NHSH 5 9.06,PC 5 9.06,UC 5 9.06,N0SL 6 9.05,N0SH 6 9.05,NLS0 6 9.05,NLSL 6 9.05,NLSH 6 9.05,NHS0 6 9.05,NHSL 6 9.05,NHSH 6 9.05,PC 6 9.05,UC 6 9.05,N0SL 7 9.05,N0SH 7 9.05,NLS0 7 9.05,NLSL 7 9.05,NLSH 7 9.05,NHS0 7 9.05,NHSL 7 9.05,NHSH 7 9.05,PC 7 9.05,UC 7 9.05,N0SL 8 9.06,N0SH 8 9.06,NLS0 8 9.06,NLSL 8 9.06,NLSH 8 9.06,NHS0 8 9.06,NHSL 8 9.06,NHSH 8 9.06,PC 8 9.06,UC 8 9.06
Nematoda spp.,26,36,2,4,4,12,1,10,8,0,0,1,1,8,1,0,0,5,1,7,2,0,5,2,3,6,3,2,3,3,8,0,0,0,0,0,0,0,5,3,0,1,0,2,2,2,2,1,0,0,36,32,24,15,4,11,9,0,1,61,3,1,9,5,0,1,2,1,1,7,0,0,0,0,1,0,3,1,0,0,15,7,8,20,37,56,11,23,8,13,0,0,2,0,0,0,13,6,1,0,18,46,10,14,13,53,7,1,7,23,5,5,11,4,4,9,18,0,9,8,0,0,1,0,0,4,0,5,0,1,49,55,83,12,90,40,28,4,5,29,3,1,3,0,4,14,6,7,0,0,4,19,0,7,2,2,16,27,0,27
Clitellio arenarius,12,39,2,21,18,33,2,4,2,0,0,0,2,0,0,3,1,0,1,4,1,0,0,0,1,11,7,15,3,0,1,0,0,1,0,25,2,1,1,5,2,2,1,6,0,13,3,5,1,1,19,3,3,22,0,8,14,5,9,8,48,54,53,41,26,26,30,52,47,22,2,3,13,26,3,32,3,0,3,0,18,17,18,6,9,58,3,17,3,3,0,0,2,0,0,0,6,2,0,0,7,3,17,12,8,0,8,4,10,12,2,0,1,4,0,0,0,0,0,0,0,1,0,3,6,0,0,1,3,2,10,0,6,12,9,3,0,8,6,7,27,21,7,34,17,23,6,12,19,14,66,13,30,33,10,48,3,2,20,8
Tubificoides benedii,9,29,10,51,20,28,22,24,35,21,7,1,7,4,0,6,8,0,3,4,13,16,4,5,13,50,12,47,6,4,5,3,9,7,0,19,4,0,1,7,22,12,7,21,2,7,3,4,33,19,19,18,9,49,17,22,24,28,31,44,0,0,12,5,12,2,5,2,0,5,4,13,12,35,6,48,7,5,5,8,19,30,42,30,62,34,28,24,32,28,7,6,5,9,4,5,15,7,4,6,40,17,29,17,33,37,33,33,42,43,7,3,8,19,9,7,3,3,3,4,4,13,4,6,18,6,3,4,9,16,27,9,12,44,28,10,36,35,28,27,0,0,4,0,4,13,4,0,3,7,45,34,27,43,37,50,21,14,42,31
Mya arenaria,2,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,2,6,2,1,0,5,0,0,0,0,1,0,1,1,2,1,1,0,3,0,6,3,7,13,3,6,1,9,6,0,0,1,0,0,0,2,0,0,0,9,4,11,14,7,3,23,1,6,18,1,2,0,14,0,0,1,5,3,1,0,1,2,4,2,1,3,0,0,0,7,22,10,3,11,14,8,7,3,12,2,5,8,5,1,0,4,14,10,15,4,3,3,9,4,4,8,13,5,13
Gammarus oceanicus,1,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,4,0,0,0,1,2,4,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,0,3,34,2,1,2,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,4,0,0,1,1,1,0,7,1,0,0,1,1,0,0,0,1,1,1,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,3,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culicidae sp. larvae,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Littorina littorea,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eteone longa,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,7,2,0,1,0,3,0,0,1,3,2,2,1,1,2,1,1,4,5,2,9,1,3,1,1,2,0
Jaera albifrons,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerebratulus spp.,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,2
Ostracoda spp.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limecola balthica,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,3,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,0
Hydrobiidae spp.,0,0,0,0,6,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,7,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,3,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mytilus edulis,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hediste diversicolor,0,0,0,0,0,0,0,0,0,0,7,7,10,1,0,4,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,5,0,5,0,0,8,4,1,0,0,0,0,0,0,0,0,0,1,3,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,4,0,2,1,6,0,5,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gammaridae spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streblospio benedicti,1,5,0,3,0,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,2,1,1,2,0,0,3,1,0,2,0,2,0,0,0,0,3,2,0,8,1,0,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,3,0,0,3,0
Insecta larvae,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nephtys picta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Polydora cornuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corophium volutator,41,36,5,15,17,33,10,24,5,2,43,16,35,51,30,15,35,20,51,51,17,26,44,41,16,32,28,44,21,22,33,38,70,34,29,93,55,20,59,54,34,28,43,38,42,33,35,45,35,50,25,24,52,73,30,56,43,15,42,44,24,23,19,28,14,31,48,17,20,36,1,4,0,0,4,2,4,23,1,4,7,38,6,16,16,17,18,9,26,3,22,30,75,44,32,46,39,39,59,45,55,41,43,30,50,32,46,37,24,30,16,13,46,11,33,14,32,27,44,24,19,6,16,24,48,19,12,27,33,18,20,49,44,36,46,34,41,22,15,25,10,15,13,9,30,29,29,24,18,24,10,9,3,2,4,6,21,21,0,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rep,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8
Trt_Nut,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC,0,0,L,L,L,H,H,H,0,UC
Trt_Shell,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC,L,H,0,L,H,0,L,H,0,UC
Trt,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC,N0SL,N0SH,NLS0,NLSL,NLSH,NHS0,NHSL,NHSH,PC,UC
